Scenario,Seed,NumDistractorLabels,CandidateSetSize,Eta,FeatureIndex0,FeatureIndex1,Rank,IsNecessary,IsUnresolved,WeightNorm,OffGapLowerBound,OffGapUpperBound,OffGapEstimate,Epsilon,EpsilonLower,EpsilonUpper,EpsilonMode,FeatureGain,FeatureGainLower,FeatureGainUpper,DeletionGap/FeatureGain,RhoLower,RhoUpper,InterceptOnlyObjective,InterceptOnlyOptimizationGapUpper,InterceptOnlyCertificateConverged,InterceptOnlyIterations,InterceptOnlySeconds,OptimizationGapRatio,CertificateConverged,AdaptiveRefinementRounds,ExactRefitsConverged,MaxOffOptimizationGapRatio,Role,Status,ExpectedStatus,CorrectSingletonDecision,RhoLower/Eta,RhoUpper/Eta
individual,100,0,2,0.01,0,1,1,1,0,0.529668927192688,0.12322469193210978,0.12322469194442416,0.12322469193314228,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,0.9938728119826703,0.9938728118839057,0.9938728120816808,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,UniqueSignal,Necessary,Necessary,True,99.38728118839057,99.38728120816808
individual,100,0,2,0.01,19,20,2,0,0,0.0014976036036387086,5.957312630698472e-11,1.1215423276864633e-06,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,4.804890126084348e-10,9.045836589221169e-06,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,4.804890126084347e-08,0.0009045836589221169
individual,100,0,2,0.01,5,6,3,0,0,0.0014271202962845564,5.1797158312032113e-11,1.0184586873254064e-06,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,4.177716865994503e-10,8.214412092161218e-06,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,4.1777168659945026e-08,0.0008214412092161218
individual,100,0,2,0.01,16,17,4,0,0,0.001424378831870854,5.150569292299993e-11,1.014549817604009e-06,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,4.154208629031423e-10,8.182884974659327e-06,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,4.154208629031423e-08,0.0008182884974659327
individual,100,0,2,0.01,14,15,5,0,0,0.0012528751976788044,3.490680888941106e-11,7.849451408108412e-07,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,2.8154201695165963e-10,6.3310008904657865e-06,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,2.815420169516596e-08,0.0006331000890465786
individual,100,0,2,0.01,2,3,6,0,0,0.001172830699943006,2.8261336383140605e-11,6.878524753329846e-07,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,2.2794273954593424e-10,5.547896798677877e-06,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,2.2794273954593423e-08,0.0005547896798677877
individual,100,0,2,0.01,10,11,7,0,0,0.0005745409871451557,7.935496033358363e-13,1.6507836908022837e-07,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,6.4004004657708554e-12,1.3314450237426468e-06,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,6.400400465770855e-10,0.00013314450237426466
individual,100,0,2,0.01,8,9,8,0,0,0.00037572800647467375,0.0,7.060466253568645e-08,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,0.0,5.694642315037739e-07,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,0.0,5.694642315037739e-05
individual,100,0,2,0.01,1,2,9,0,0,0.00023741520999465138,0.0,2.8197307998158706e-08,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,0.0,2.2742631652025285e-07,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,0.0,2.2742631652025285e-05
individual,100,0,2,0.01,9,10,10,0,0,0.00021639389160554856,0.0,2.3427046512308357e-08,,0.001239843674638027,0.001239843674628027,0.001239843674750846,feature_gain,0.1239843674638027,0.1239843674628027,0.12398436747508458,,0.0,1.889516153666457e-07,0.1250136745253462,1e-12,True,12,0.01244690001476556,9.09943627796641e-09,True,0,1,8.327750216842286e-10,Noise,Removable,Removable,True,0.0,1.889516153666457e-05
